X,Y,sid,code,name,slots,subway_distance,district,departures,arrivals,in_out,roundtrips,average,average_per_slot,unique_rides,start,start_month,lat,lon
37.610828,55.745244,51,56,"Берсеньевская наб., д.20/2 (Театр эстрады)",12,347,143,2219,2388,93,24,15,0.9,53,2015-05-01 15:35:13,5,55.745244,37.610828
37.615425,55.744008,52,57,Болотная пл. (напротив к/т Ударник),12,659,143,3104,3337,93,26,20,0.9,67,2015-05-01 15:49:40,5,55.744008,37.615425
37.654944,55.750628,53,58,"Серебряническая наб., д.29",12,622,146,1248,1229,102,19,8,1,31,2015-05-01 23:56:28,5,55.750628,37.654944
37.646175,55.740822,54,59,"Котельническая наб., д.33, стр. 1",12,462,146,2445,2519,97,30,16,1,64,2015-05-01 00:27:07,5,55.740822,37.646175
37.608656,55.757438,55,60,"Газетный пер., д.6",12,364,155,1463,1494,98,11,15,1,51,2015-06-25 16:20:40,6,55.757438,37.608656
37.620228,55.742928,56,70,"Лаврушинский пер. (напротив д.4, стр.1)",12,419,143,3002,3152,95,26,20,1,59,2015-05-01 18:00:02,5,55.742928,37.620228
37.616029,55.73895,57,71,ул. Большая Якиманка (напротив д.18),12,289,143,2928,3080,95,16,24,1,58,2015-06-02 20:50:31,6,55.73895,37.616029
37.612528,55.730772,58,72,"ул. Большая Якиманка, д.16 (ст.м.Октябрьская)",20,50,143,4629,4802,96,19,30,1,61,2015-05-01 11:27:00,5,55.730772,37.612528
37.61947,55.73623,59,73,"ул. Большая Полянка, д.33/41, стр.1",12,83,143,3148,3180,99,23,25,1,40,2015-05-28 20:21:36,5,55.73623,37.61947
37.620381,55.732181,60,74,"ул. Большая Полянка, д.50/1, стр.1",12,387,143,2081,2130,98,26,14,1,47,2015-05-01 00:56:00,5,55.732181,37.620381
37.625638,55.740815,61,75,"Климентовский пер., д.23, стр.1 (ст.м.Третьяковская)",12,7,137,8616,8753,98,22,56,1,46,2015-05-01 00:27:59,5,55.740815,37.625638
37.628275,55.737812,63,77,"ул. Пятницкая, д.42",10,366,137,2188,2310,95,23,14,0.9,54,2015-05-01 00:00:35,5,55.737812,37.628275
37.627651,55.735363,64,78,"ул. Пятницкая, д.48, стр.1",12,584,137,3192,3214,99,24,28,1,38,2015-06-10 14:43:18,6,55.735363,37.627651
37.626464,55.745814,65,80,"ул. Пятницкая, д.2/38",12,404,137,2653,2699,98,13,27,1,52,2015-06-24 20:12:13,6,55.745814,37.626464
37.633294,55.739877,66,81,"ул. Большая Татарская, д.19/13",12,377,137,1076,1136,95,22,11,0.9,38,2015-06-25 07:37:20,6,55.739877,37.633294
37.635113,55.737552,67,84,"ул. Большая Татарская, д.35",12,649,137,1359,1371,99,11,14,1,26,2015-06-25 03:29:13,6,55.737552,37.635113
37.645381,55.748229,68,85,"Котельническая наб., д.1",12,837,146,1028,1117,92,17,13,0.9,55,2015-07-10 19:57:48,7,55.748229,37.645381
37.593281,55.735194,69,100,"Зубовский б-р, д.5, стр.3 (ст.м.Парк Культуры)",40,7,131,15040,15023,100,25,98,1,46,2015-05-01 01:27:30,5,55.735194,37.593281
37.585594,55.738107,70,102,"Зубовская пл., д.3, стр.1",12,588,131,2458,2529,97,21,16,1,52,2015-05-01 00:48:01,5,55.738107,37.585594
37.584668,55.74049,71,103,"Смоленский б-р, д.3/5",12,806,131,1249,1167,107,10,15,1.1,52,2015-07-09 19:53:38,7,55.74049,37.584668
37.585123,55.742153,72,104,"Смоленский б-р, д.22/14",12,648,131,3597,3421,105,22,24,1.1,38,2015-05-01 15:01:03,5,55.742153,37.585123
37.583095,55.74913,73,106,"Смоленская пл., д.6",24,59,138,6002,6097,98,19,39,1,44,2015-05-01 14:26:48,5,55.74913,37.583095
37.583633,55.756668,74,108,"Новинский б-р, д.27, стр.2",12,468,147,1682,1550,109,18,15,1.1,48,2015-06-10 17:13:47,6,55.756668,37.583633
37.584637,55.757231,75,110,"Новинский б-р (напротив д.28/35, стр.1А)",12,436,138,2105,1956,108,19,15,1.1,51,2015-05-01 00:11:08,5,55.757231,37.584637
37.58738,55.76328,76,112," ул. Садовая-Кудринская, д.11, стр.1",12,484,147,1367,1271,108,17,11,1.1,52,2015-05-29 11:49:52,5,55.76328,37.58738
37.590813,55.766245,77,114,"ул. Большая Садовая, д.1",12,494,147,1350,1091,124,10,14,1.2,51,2015-06-24 17:03:22,6,55.766245,37.590813
37.594132,55.767816,78,116,"ул. Большая Садовая, д.14, стр.1",12,223,147,2688,2500,108,20,18,1.1,55,2015-05-01 00:47:53,5,55.767816,37.594132
37.599103,55.770646,79,118,"ул. Садовая-Триумфальная, д.4/10",12,160,155,2376,2117,112,18,16,1.1,54,2015-05-01 16:55:03,5,55.770646,37.599103
37.614186,55.773194,80,120,"ул. Садовая-Самотечная, д.8",12,439,155,2797,2833,99,22,18,1,39,2015-05-01 01:06:43,5,55.773194,37.614186
37.62121,55.77314,81,122,"Цветной б-р., д.34, стр.1",12,163,24,3933,4107,96,21,31,1,50,2015-05-27 18:34:11,5,55.77314,37.62121
37.621562,55.774063,82,124,"ул. Садовая-Сухаревская, д.5",12,268,24,1684,1812,93,22,15,0.9,48,2015-06-10 22:12:17,6,55.774063,37.621562
37.6333,55.77293,83,125,"пр-т Мира, д.2",12,24,24,785,709,111,14,10,1.1,60,2015-07-11 06:13:18,7,55.77293,37.6333
37.632814,55.772192,84,126,"Большая Сухаревская пл., д.2 (ст.м.Сухаревская)",10,23,141,4371,4223,104,20,29,1,42,2015-05-01 03:41:45,5,55.772192,37.632814
37.643192,55.770203,85,128,ул. Садовая-Спасская (напротив д.26),12,366,141,1978,1819,109,18,13,1.1,43,2015-05-01 10:54:57,5,55.770203,37.643192
37.645046,55.770996,86,129,"Орликов пер., д.1/11 (со стороны пр. Академика Сахарова)",12,347,141,358,319,112,7,5,1.1,49,2015-07-24 10:58:54,7,55.770996,37.645046
37.649155,55.768482,87,130,"ул. Садовая-Черногрязская, д.2",12,72,266,2406,1994,121,16,18,1.2,38,2015-05-22 13:53:20,5,55.768482,37.649155
37.652142,55.767033,88,132,"ул. Садовая-Черногрязская, д.10/25",12,298,266,896,640,140,16,6,1.4,56,2015-05-01 02:25:31,5,55.767033,37.652142
37.655228,55.765056,89,134,"ул. Садовая-Черногрязская, д.16/18, стр.1",12,583,266,2098,1960,107,20,14,1.1,40,2015-05-02 15:19:31,5,55.765056,37.655228
37.656236,55.76337,90,136,"ул. Земляной Вал, д.2",12,555,266,2285,2206,104,17,15,1,51,2015-05-01 14:38:39,5,55.76337,37.656236
37.656947,55.760738,91,138,"ул. Земляной Вал, д.14/16, стр.1",12,265,266,1530,1308,117,19,10,1.2,59,2015-05-02 15:01:30,5,55.760738,37.656947
37.657331,55.7593,92,140,"ул. Земляной Вал, д.24/30, стр.1",12,122,266,5942,5732,104,18,39,1,41,2015-05-01 00:54:47,5,55.7593,37.657331
37.655567,55.752247,93,142,"ул. Земляной Вал, д.48Б",12,440,146,1523,1481,103,17,10,1,51,2015-05-01 23:58:42,5,55.752247,37.655567
37.655467,55.749356,94,144,"ул. Земляной Вал, д.52/16, стр.2",12,749,146,1431,1475,97,26,10,1,56,2015-05-01 17:27:28,5,55.749356,37.655467
37.647831,55.737643,95,146,"Гончарная наб., д.3, стр.3",12,374,146,2681,2834,95,34,22,0.9,62,2015-06-01 20:26:20,6,55.737643,37.647831
37.63885,55.731861,96,148,"ул. Бахрушина, д.31/12, стр.3",12,177,137,4246,4281,99,23,28,1,46,2015-05-01 00:17:12,5,55.731861,37.63885
37.629661,55.729697,97,150,"ул. Валовая, д.20",12,406,137,4301,4406,98,23,28,1,42,2015-05-01 00:12:00,5,55.729697,37.629661
37.623162,55.729074,98,151,"ул. Люсиновская, д.2",12,20,137,2043,2174,94,32,21,0.9,48,2015-06-25 14:45:56,6,55.729074,37.623162
37.610825,55.730486,99,152,"ул. Крымский Вал, д.4 (ст.м.Октябрьская)",8,142,143,3436,3619,95,23,23,0.9,70,2015-05-01 10:51:10,5,55.730486,37.610825
37.610658,55.729919,100,154,"ул. Крымский Вал, д.3, стр.16",20,88,143,8892,9166,97,35,59,1,65,2015-05-01 00:04:51,5,55.729919,37.610658
37.606376,55.731918,101,156,"ул. Крымский Вал, д.8, корп.2",20,402,143,6176,6663,93,41,55,0.9,64,2015-06-10 19:52:04,6,55.731918,37.606376
37.605268,55.731775,102,157,напротив входа в Парк Горького,32,468,143,2515,3308,76,35,43,0.8,69,2015-08-03 12:22:27,8,55.731775,37.605268
37.596925,55.733558,103,200,Фрунзенская наб. (напротив д.4),12,286,131,8414,8906,94,25,55,0.9,60,2015-05-01 00:52:40,5,55.733558,37.596925
37.589864,55.725747,104,201,Фрунзенская наб. (пересеч. с 1-ой Фрунзенской ул.),22,605,131,6200,6949,89,28,41,0.9,59,2015-05-01 01:24:24,5,55.725747,37.589864
37.576753,55.740264,146,244,"ул. Плющиха, д.39",12,691,131,2567,2479,104,21,17,1,25,2015-05-01 00:37:17,5,55.740264,37.576753
37.584417,55.728007,105,202,Комсомольский пр-т (пересеч. с 1-ой Фрунзенской ул.),12,243,131,2588,2732,95,27,17,0.9,50,2015-05-01 03:57:05,5,55.728007,37.584417
37.579058,55.724242,106,203,Комсомольский пр-т (пересеч. со 2-ой Фрунзенской ул.),9,367,131,1876,2017,93,30,13,0.9,45,2015-05-01 14:27:16,5,55.724242,37.579058
37.5864,55.72175,107,204,Фрунзенская наб. (пересеч. со 2-й Фрунзенской ул.),8,724,131,3903,4326,90,26,26,0.9,62,2015-05-01 11:11:48,5,55.72175,37.5864
37.575858,55.721972,108,205,Комсомольский пр-т (пересеч. с 3-ей Фрунзенской ул.),12,669,131,3104,3264,95,29,20,1,31,2015-05-01 03:13:57,5,55.721972,37.575858
37.583486,55.719197,109,206,Фрунзенская наб. (пересеч. с 3-ей Фрунзенской ул.),10,930,131,3901,4261,92,26,26,0.9,57,2015-05-01 03:37:59,5,55.719197,37.583486
37.577989,55.715508,110,207,"Фрунзенская наб, д. 54 (пересеч. с ул. Хамовнический Вал)",16,985,131,4915,5144,96,25,39,1,56,2015-05-01 10:41:01,5,55.715508,37.577989
37.565242,55.723833,111,208,"ул. 10-летия Октября (напротив д.29, корп.3, ст.м.Спортивная)",12,27,131,2666,2741,97,28,18,1,40,2015-05-01 12:44:41,5,55.723833,37.565242
37.561797,55.721839,112,209,ст.м.Спортивная (выход к Хамовническому Валу),24,49,131,2660,2748,97,33,17,1,42,2015-05-01 12:17:00,5,55.721839,37.561797
37.569522,55.712558,113,210,Лужнецкая наб. (пересеч. с Новолужнецким пр.),34,563,131,8666,9350,93,27,57,0.9,52,2015-05-01 15:20:34,5,55.712558,37.569522
37.560011,55.711594,114,211,ст.м.Воробьёвы горы (Лужники),48,36,131,9222,10940,84,31,61,0.8,50,2015-05-01 13:07:43,5,55.711594,37.560011
